Test (2C): Figure 8 (unreliable) ...
len 1, committed 0, id 4
len 0, committed 0, id 0
len 1, committed 0, id 2
len 0, committed 0, id 0
Am leader::len 1, committed 1, id 3
len 1, committed 0, id 4
len 1, committed 0, id 1
len 1, committed 0, id 2
len 1, committed 0, id 1
Am leader::len 1, committed 1, id 3
len 1, committed 0, id 4
len 0, committed 0, id 0
len 2, committed 1, id 2
len 1, committed 0, id 0
Am leader::len 2, committed 1, id 3
len 1, committed 0, id 4
len 1, committed 0, id 1
len 2, committed 1, id 2
len 1, committed 0, id 0
Am leader::len 2, committed 1, id 3
len 1, committed 0, id 1
len 2, committed 1, id 4
len 2, committed 1, id 2
len 2, committed 1, id 4
Am leader::len 3, committed 2, id 3
len 2, committed 1, id 1
len 1, committed 0, id 0
len 2, committed 1, id 2
Am leader::len 1, committed 0, id 0
len 3, committed 2, id 3
len 2, committed 1, id 4
len 2, committed 1, id 1
len 3, committed 2, id 2
Am leader::len 4, committed 2, id 3
len 2, committed 1, id 1
len 3, committed 2, id 0
len 2, committed 1, id 4
len 3, committed 2, id 2
Am leader::len 4, committed 2, id 3
len 2, committed 1, id 1
len 3, committed 2, id 0
len 2, committed 1, id 4
len 3, committed 2, id 2
len 2, committed 1, id 4
Am leader::len 5, committed 2, id 3
len 2, committed 1, id 1
len 3, committed 2, id 0
len 3, committed 2, id 2
len 3, committed 2, id 0
len 2, committed 1, id 4
Am leader::len 6, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 2
len 2, committed 1, id 4
Am leader::len 6, committed 2, id 3
len 3, committed 2, id 0
len 3, committed 2, id 1
len 3, committed 2, id 1
len 3, committed 2, id 2
Am leader::len 7, committed 2, id 3
len 3, committed 2, id 0
len 2, committed 1, id 4
len 2, committed 1, id 4
len 3, committed 2, id 2
Am leader::len 7, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 0
len 2, committed 1, id 4
Am leader::len 8, committed 2, id 3
len 3, committed 2, id 0
len 3, committed 2, id 1
len 3, committed 2, id 2
Am leader::len 8, committed 2, id 3
len 3, committed 2, id 2
len 2, committed 1, id 4
len 3, committed 2, id 0
len 3, committed 2, id 1
Am leader::len 3, committed 2, id 1
len 3, committed 2, id 0
len 3, committed 2, id 2
len 10, committed 2, id 3
len 2, committed 1, id 4
len 3, committed 2, id 0
Am leader::len 10, committed 2, id 3
len 3, committed 2, id 1
len 2, committed 1, id 4
len 3, committed 2, id 2
len 3, committed 2, id 0
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 2, committed 1, id 4
len 3, committed 2, id 0
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 2, committed 1, id 4
len 3, committed 2, id 2
len 3, committed 2, id 0
len 3, committed 2, id 1
len 2, committed 1, id 4
Am leader::len 11, committed 2, id 3
Am leader::len 11, committed 2, id 3
len 2, committed 1, id 4
len 3, committed 2, id 1
len 3, committed 2, id 2
len 3, committed 2, id 0
len 2, committed 1, id 4
len 3, committed 2, id 0
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 1
len 3, committed 2, id 0
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 2, committed 1, id 4
len 2, committed 1, id 4
len 3, committed 2, id 0
len 3, committed 2, id 1
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 0
len 2, committed 1, id 4
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 2
len 3, committed 2, id 0
Am leader::len 11, committed 2, id 3
len 2, committed 1, id 4
len 3, committed 2, id 1
len 3, committed 2, id 2
len 3, committed 2, id 1
len 3, committed 2, id 0
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 2
len 2, committed 1, id 4
len 3, committed 2, id 0
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 2, committed 1, id 4
len 3, committed 2, id 1
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 0
len 2, committed 1, id 4
len 3, committed 2, id 2
len 2, committed 1, id 4
len 3, committed 2, id 0
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 0
len 3, committed 2, id 1
len 2, committed 1, id 4
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 2
len 3, committed 2, id 0
len 2, committed 1, id 4
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 0
len 2, committed 1, id 4
len 3, committed 2, id 1
len 3, committed 2, id 1
Am leader::len 11, committed 2, id 3
len 2, committed 1, id 4
len 3, committed 2, id 2
len 3, committed 2, id 0
len 2, committed 1, id 4
len 3, committed 2, id 0
len 3, committed 2, id 2
len 3, committed 2, id 1
Am leader::len 11, committed 2, id 3
Am leader::len 3, committed 2, id 0
len 2, committed 1, id 4
len 3, committed 2, id 2
len 3, committed 2, id 1
len 11, committed 2, id 3
Am leader::len 3, committed 2, id 0
len 11, committed 2, id 3
len 3, committed 2, id 1
len 2, committed 1, id 4
len 3, committed 2, id 2
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 2, committed 1, id 4
len 3, committed 2, id 0
Am leader::len 11, committed 2, id 3
len 2, committed 1, id 4
len 3, committed 2, id 2
len 3, committed 2, id 0
len 3, committed 2, id 1
len 2, committed 1, id 4
len 3, committed 2, id 0
len 3, committed 2, id 2
len 3, committed 2, id 1
Am leader::len 11, committed 2, id 3
len 2, committed 1, id 4
len 3, committed 2, id 2
len 3, committed 2, id 1
len 3, committed 2, id 0
Am leader::len 11, committed 2, id 3
len 2, committed 1, id 4
len 3, committed 2, id 1
len 3, committed 2, id 2
len 3, committed 2, id 0
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 0
len 2, committed 1, id 4
len 3, committed 2, id 2
len 2, committed 1, id 4
len 3, committed 2, id 1
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 2
len 3, committed 2, id 0
len 2, committed 1, id 4
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 0
len 3, committed 2, id 2
len 2, committed 1, id 4
len 3, committed 2, id 0
len 3, committed 2, id 1
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 2, committed 1, id 4
len 3, committed 2, id 2
len 3, committed 2, id 1
len 3, committed 2, id 0
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 2
len 3, committed 2, id 0
Am leader::len 11, committed 2, id 3
len 2, committed 1, id 4
len 3, committed 2, id 2
len 2, committed 1, id 4
len 3, committed 2, id 0
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 1
len 2, committed 1, id 4
len 3, committed 2, id 2
len 3, committed 2, id 0
Am leader::len 11, committed 2, id 3
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 2
len 3, committed 2, id 0
len 2, committed 1, id 4
len 3, committed 2, id 1
len 2, committed 1, id 4
len 3, committed 2, id 0
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 2, committed 1, id 4
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 0
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 3, committed 2, id 0
len 2, committed 1, id 4
len 2, committed 1, id 4
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 2
len 3, committed 2, id 0
len 3, committed 2, id 1
len 2, committed 1, id 4
len 3, committed 2, id 2
len 3, committed 2, id 0
len 3, committed 2, id 1
Am leader::len 11, committed 2, id 3
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 2
len 3, committed 2, id 1
len 3, committed 2, id 0
len 2, committed 1, id 4
len 2, committed 1, id 4
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 2
len 3, committed 2, id 1
len 3, committed 2, id 0
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 2
len 3, committed 2, id 1
len 2, committed 1, id 4
len 3, committed 2, id 0
len 3, committed 2, id 0
len 3, committed 2, id 2
Am leader::len 11, committed 2, id 3
len 3, committed 2, id 1
len 2, committed 1, id 4
len 3, committed 2, id 1
len 2, committed 1, id 4
